1YrT-BillYield,EarningsPerShare,DividendPerShare,CurrentS&P500,S&P500NextWeek
7.289,18.59,8.95,269.32,270.0
7.319,18.59,8.95,262.5,272.97900000000004
7.67,18.59,8.95,261.89599999999996,260.77
7.71,18.59,8.95,261.126,261.52
7.529,21.67,9.23,265.87,269.31
7.539,21.67,9.23,270.156,269.08
7.46,21.67,9.23,271.86,273.97900000000004
7.55,21.67,9.23,276.968,281.376
7.6,21.67,9.23,279.06,273.33
7.949,21.67,9.23,263.82,269.0
8.21,22.73,9.46,273.697,278.126
8.449,22.73,9.46,275.31,277.376
8.359,22.73,9.46,277.08,279.427
8.359,22.73,9.46,282.01,286.53
8.31,22.73,9.46,289.137,297.09
8.55,22.73,9.46,298.64599999999996,294.23900000000003
8.779,22.73,9.46,290.906,287.11
8.75,23.76,9.73,294.08,296.666
8.9,23.76,9.73,290.48900000000003,292.35
8.72,23.76,9.73,296.23900000000003,298.98900000000003
8.6,23.76,9.73,307.14599999999996,306.927
8.3,23.76,9.73,308.156,305.8
8.25,23.76,9.73,317.47900000000004,319.13599999999997
8.01,23.76,9.73,320.52,326.947
7.82,24.96,9.98,323.83,320.47900000000004
7.54,24.96,9.98,325.81,320.63599999999997
7.34,24.96,9.98,329.81,335.72900000000004
7.17,24.96,9.98,338.05,344.34
7.62,24.96,9.98,346.93699999999995,345.656
7.73,24.96,9.98,344.69699999999995,350.64599999999996
7.62,25.22,10.3,349.23900000000003,345.458
7.65,25.22,10.3,346.468,345.1
7.52,25.22,10.3,356.93699999999995,356.98900000000003
7.35,25.22,10.3,341.76,342.5
7.48,25.22,10.3,341.19699999999995,338.14599999999996
7.16,25.22,10.3,340.54,341.906
7.15,25.22,10.3,343.6,348.55
7.14,23.69,10.67,352.75,342.84
7.25,23.69,10.67,348.81,358.76
7.23,23.69,10.67,347.31,337.39599999999996
7.5,23.69,10.67,330.26,329.08
7.5,23.69,10.67,333.75,332.01
7.55,23.69,10.67,327.666,331.88599999999997
7.84,22.9,11.05,336.94699999999995,336.87
7.71,22.9,11.05,339.73900000000003,342.0
7.68,22.9,11.05,341.09,341.916
7.84,22.9,11.05,340.718,332.03
7.83,22.9,11.05,334.47900000000004,342.86
7.71,22.9,11.05,354.0,359.29
7.65,22.9,11.05,360.86,364.958
7.5,21.67,11.32,364.89599999999996,359.1
7.47,21.67,11.32,355.13599999999997,360.156
7.37,21.67,11.32,361.22900000000004,364.218
7.28,21.67,11.32,357.09,355.52
7.16,21.67,11.32,338.35,340.06
7.41,21.67,11.32,316.55,324.187
7.22,21.26,11.67,324.38599999999997,322.54
7.24,21.26,11.67,316.6,305.06
7.02,21.26,11.67,311.39599999999996,300.38599999999997
7.05,21.26,11.67,298.76,312.6
6.88,21.26,11.67,304.0,306.01
6.81,21.26,11.67,320.39599999999996,316.03
6.84,21.26,11.67,317.947,329.916
6.65,21.74,11.84,330.18699999999995,330.19699999999995
6.5,21.74,11.84,330.85,326.447
6.22,21.74,11.84,311.48900000000003,316.166
6.2,21.74,11.84,330.208,340.906
5.86,21.74,11.84,358.07,369.02
5.96,21.74,11.84,365.13599999999997,367.73900000000003
6.02,21.34,12.1,376.166,374.57
